filename,snr_pr,snr_noisy,lsd_pr,lsd_noisy,P808_MOS pr,SIG_raw pr,BAK_raw pr,OVRL pr,SIG pr,BAK pr,P808_MOS hr,SIG_raw hr,BAK_raw hr,OVRL hr,SIG hr,BAK hr,P808_MOS noisy,SIG_raw noisy,BAK_raw noisy,OVRL noisy,SIG noisy,BAK noisy
/VCTK-Corpus/wav48/p347/p347_047.wav,9.14049208164215,9.136677969373135,2.4181988,2.5707653574763776,3.7120354,4.143152,4.294989,3.354259765414582,3.621841179693065,4.086045352002099,3.7142117,4.169617,4.0973225,3.3157915720314937,3.635707871256381,3.9864850996730943,3.697485,4.1402164,4.0496764,3.2911388613441024,3.6203416820056553,3.9609404523069194
/VCTK-Corpus/wav48/p347/p347_208.wav,-10.850886106491089,-11.141270501506584,4.6335816,6.879018308584439,3.0103946,3.8922806,4.1107593,3.1781227951030546,3.484751060064687,3.9935069075541643,3.0474007,3.8881779,4.2484226,3.1852275624337847,3.482530738079553,4.063594442768397,2.7958548,4.00217,3.1985917,2.9429130503703056,3.5460791440964465,3.4035648579116797
/VCTK-Corpus/wav48/p347/p347_091.wav,-10.263609886169434,-11.814587321163001,5.9696665,7.825924424203985,3.0759351,4.183591,3.23059,3.062331941905143,3.6429510562831844,3.428115842322284,3.5530815,4.230543,4.283298,3.3773556126334765,3.6671174662547608,4.08057467940558,2.7587311,4.1451955,2.1597023,2.4336989511321834,3.6229110386977927,2.464821664882039
/VCTK-Corpus/wav48/p347/p347_357.wav,-8.099281191825867,-9.823245184766566,3.1695778,3.268555227555342,3.7202394,4.17441,4.210631,3.3724511120929113,3.638209238956438,4.044756028925756,3.7308757,4.259432,4.437865,3.448757982447834,3.6817911446246754,4.15174947898324,3.697611,4.2407656,3.4497,3.1264833370057374,3.6719522167960315,3.586493080124012
/VCTK-Corpus/wav48/p347/p347_421.wav,6.289246678352356,6.169546636658074,2.3009512,2.4289591702871483,3.590268,4.3219433,4.309121,3.4266120942706273,3.7130851752517136,4.09287426181795,3.8033311,4.2078094,4.1968446,3.3333398405877404,3.6554992993738193,4.037730426058508,3.615245,4.3209863,4.290283,3.4234410110624123,3.712607800392581,4.084039965714742
/VCTK-Corpus/wav48/p347/p347_386.wav,1.1473353952169418,1.0940859968656216,3.3982882,3.9549495390093248,3.660188,4.1347766,4.071499,3.281743133716931,3.6173367402120102,3.9717397570655613,3.7255979,4.08116,4.123134,3.2677472530362075,3.588996381972354,4.000222333723497,3.633797,4.131501,3.9285076,3.249566649723716,3.6156828891756807,3.8930718230616104
/VCTK-Corpus/wav48/p347/p347_040.wav,22.114059925079346,36.5898729251511,2.245901,1.9994884901968302,3.5699937,4.2116466,4.466783,3.414099336897735,3.6574275233540465,4.164551451293992,3.6833866,4.2296424,4.460301,3.4242957818569093,3.6666842085992144,4.1617272599128645,3.634021,4.207489,4.421556,3.4022353863659665,3.655330400600525,4.1447537646939
/VCTK-Corpus/wav48/p347/p347_118.wav,-11.355295181274414,-11.661705170161373,5.9679217,7.623927255695655,2.8518093,3.9803166,3.7387576,3.1392986051896647,3.5341977131528655,3.7796873454895668,3.2679327,4.1412334,3.8485148,3.2138651378829035,3.620907796687443,3.846655415329007,2.7663586,3.8779583,2.060866,2.31036788755231,3.4767789482280493,2.3609878400909863
/VCTK-Corpus/wav48/p347/p347_164.wav,-9.591652154922485,-10.016153338897825,4.508834,5.61295247911565,3.6221323,4.125183,3.8585274,3.242135971796705,3.612439741655125,3.8514424508101452,3.6897476,4.165005,4.318035,3.357805651793155,3.633343636979024,4.0969183222619145,3.359501,4.1348557,3.1965153,3.005188395376333,3.6173601105906847,3.4016078316272473
/VCTK-Corpus/wav48/p347/p347_273.wav,13.569847345352173,11.907182658565368,3.0161529,3.579137991811167,3.335158,4.211794,4.1486406,3.352640734277358,3.657518503255311,4.010930358920447,3.4367085,4.1878066,4.315264,3.380669456710947,3.6451394081884865,4.095556935586924,3.259636,4.1828103,3.7148952,3.2235617979906195,3.6425367815108074,3.764596532107808
